store_id,region,store_name,store_x,store_y,store_addr,store_addr_new,store_tel,open_hours,n_link,website
1,경기,망향비빔국수 본점,127.1093530,38.0238040,경기도 연천군 청산면 궁평리 231-2,경기도 연천군 청산면 궁평로 5,031-835-3575,매일 10:00~20:30 연중무휴,11718339,https://map.naver.com/v5/search/망향비빔국수 본점 경기도 연천군 청산면 궁평리 231-2/place/11718339
2,경기,고래성손두부,126.8658541,37.9928457,경기도 연천군 장남면 자작리 47-1,경기도 연천군 장남면 장남로 98,,,19146357,https://map.naver.com/v5/search/고래성손두부 경기도 연천군 장남면 자작리 47-1/place/19146357
3,경기,황해냉면,127.0097375,38.0602667,경기도 연천군 왕징면 무등리 68-3,경기도 연천군 왕징면 왕산로 80,031-833-7470,매일 10:00~19:00,11625283,https://map.naver.com/v5/search/황해냉면 경기도 연천군 왕징면 68-3/place/11625283
4,경기,고향손칼국수,127.0755625,38.1116486,경기도 연천군 연천읍 현가리 31-12,경기도 연천군 연천읍 연천로 390,031-834-3389,"매일 10:30~20:00 명절 휴무, 매월 1,3주 월요일 휴무",18860796,https://map.naver.com/v5/search/고향손칼국수 경기도 연천군 연천읍 현가리 31-12/place/18860796
5,경기,불탄소 가든,127.1218531,38.0621025,경기도 연천군 연천읍 고문리 832,경기도 연천군 연천읍 현문로 526-29 불탄소가든,031-834-2770,매일 11:00~20:30 명절 당일 휴무,11660824,https://map.naver.com/v5/search/불탄소 가든 경기도 연천군 연천읍 고문리 832/place/11660824
6,경기,대교 여울목,126.9206779,37.9897076,경기도 연천군 백학면 노곡리 609,경기도 연천군 백학면 청정로46번길 25,031-835-2528,매일 11:00~20:00,18872659,https://map.naver.com/v5/search/대교 여울목 경기도 연천군 백학면 노곡리 609/place/18872659
7,경기,황지참게매운탕,127.0295028,38.0579358,경기도 연천군 군남면 황지리 1036,경기도 연천군 군남면 군남로 24,031-833-4595,매일 11:00~20:00 연중무휴,13316324,https://map.naver.com/v5/search/황지참게매운탕 경기도 연천군 군남면 황지리 1036/place/13316324
8,경기,소담돈까스,127.0674536,38.0263683,경기도 연천군 전곡읍 전곡리 480-34,경기도 연천군 전곡읍 전곡로161번길 5,031-835-2173,,36748591,https://map.naver.com/v5/search/소담돈까스 경기도 연천군 전곡읍 전곡리 480-34 /place/36748591
9,경기,민속촌오리장작구이,126.9878094,38.0403300,경기도 연천군 미산면 유촌리 533-1,경기도 연천군 미산면 청정로1477번길 276,031-833-7579,"매일 10:00~21:00 | 수요일 휴무 첫째주, 셋째주",18872980,https://map.naver.com/v5/search/민속촌오리장작구이 경기도 연천군 미산면 유촌리 533-1/place/18872980
10,경기,가산우렁쌈밥,127.0879489,37.9895411,경기도 연천군 청산면 초성리 23,경기도 연천군 청산면 청신로 285,031-835-2004,,38520768,https://map.naver.com/v5/search/가산우렁쌈밥 경기도 연천군 청산면 초성리 23/place/38520768
11,경기,전곡양평해장국,127.0758310,38.0148182,경기도 연천군 전곡읍 전곡리 45-3,경기도 연천군 전곡읍 선사로 284,031-832-0040,"매일 07:00~20:00 설, 추석 당일 휴무",19882065,https://map.naver.com/v5/search/양평해장국 경기 연천군 전곡읍 전곡리 45-3/place/19882065
12,경기,아씨마늘보쌈,127.0673750,38.0289191,경기도 연천군 전곡읍 전곡리 457-43 아씨마늘보쌈,경기도 연천군 전곡읍 전곡로188번길 11,031-833-5353,매일 11:00~22:00,12072055,https://map.naver.com/v5/search/돈통마늘보쌈 전곡점 경기도 연천군 전곡읍 전곡리 457-43/place/12072055
13,경기,청산흑가마,127.0716827,37.9948051,경기도 연천군 청산면 초성리 179-1,경기도 연천군 청산면 학담로 61,031-835-4950,매일 11:00~21:00 매주월요일휴업 | 월요일 휴무,36338945,https://map.naver.com/v5/search/청산흑가마 경기도 연천군 청산면 초성리 179-1/place/36338945
14,경기,명신반점,127.0697426,38.0241382,경기도 연천군 전곡읍 전곡리 305-4,경기도 연천군 전곡읍 전곡역로 61,031-832-2307,매일 10:00~21:00 | 수요일 휴무,19877646,https://map.naver.com/v5/search/명신반점 경기도 연천군 전곡읍 전곡리 305-4/place/19877646
15,경기,송하원 누룽지 한방 백숙,127.0723501,38.0187168,경기도 연천군 전곡읍 전곡리 260-5,경기도 연천군 전곡읍 밤골로 24,031-833-9966,매일 09:30~21:30,36547359,https://map.naver.com/v5/search/송학원한방삼계탕누룽지백숙 경기도 연천군 전곡읍 전곡리 260-5/place/36547359
16,경기,군남면옥,127.0188548,38.0845704,경기도 연천군 군남면 삼거리 400-16,경기도 연천군 군남면 군남로 413-6,031-833-8131,"매일 11:00~19:00 둘째주,넷째주 수요일 정기휴일",18870330,https://map.naver.com/v5/search/군남면옥 경기도 연천군 군남면 삼거리 400-16 /place/18870330
17,경기,맛자랑순대국,127.0649929,38.0191895,경기도 연천군 전곡읍 전곡리 285-8,경기도 연천군 전곡읍 양연로 1567,031-833-9595,매일 09:00~21:00,19142953,https://map.naver.com/v5/search/맛자랑순대국 경기도 연천군 전곡읍 전곡리 285-8 /place/19142953
