,score,cluster,review
1,1.0,2,여기 오지마세여. 맛도 없고 불 친절하고 먹을래면 먹든가 하는곳임!
11,1.0,2,다시가고싶지안다
16,1.0,2,양이 너무 적음 ㅠ
18,1.0,2,맛도없고 불친절하고 세상맛없음 진심임
22,1.0,2,위생관리가...물 절대 마시지 마셈
23,1.0,2,가격대비 맛없음
24,1.0,2,고기질도별로고....분위기도...가격도...마음에드는게없네요...
26,1.0,2,맛 없음
27,1.0,2,맛이 많이 변했네요
28,1.0,2,별로예요
31,1.0,2,엄청 불친절하고 배부른 음식점입니다
33,1.0,2,"맛 없는 집,"
36,1.0,2,저렴.푸짐. 맛집입니다.
39,1.0,2,사람만많음  맛은별로..
43,1.0,2,가격도 비싸고 맛도없어요
44,1.0,2,본점보다 맞없음
46,1.0,2,바가지 심하고  가격이 비싸요
47,1.0,2,비싸다불친절하다
50,1.0,2,"일단 맛이없다

그리고 친절하지가 않다

비싸다"
52,1.0,2,취향 별 선호
53,1.0,2,별루임
55,1.0,2,"커피값비싸고, 계곡물이 발목까지 옴"
57,1.0,2,별  맛 없음
58,1.0,2,바지라칼국수는 정말 비추!
60,1.0,2,좃나맛없음    다시는  가기싫음
70,1.0,2,완존실망...
77,1.0,2,맵기만하고 맛이 정말없엏음. 마음먹고 갔는데 동네보다도 맛이 없었음.
78,1.0,2,"맛없고 비쌈, 인테리어도 올드"
85,1.0,2,맛없음
87,1.0,2,위생관리가 형편없고 지저분해서 다시가고 싶지않아요. 별이 1개가 최저가 1개 주지 별주기 아까워요
94,1.0,2,"서비스 최악, 비싼 돈주고 먹는데 고객을 하대하는 직원의 태도와 불친절한 서비스"
95,1.0,2,별로
96,1.0,2,"별루입니다.
먹을께 없어요
반찬도 김치, 콩나물냉국 두가지 밖에 없고
재료에 비해 생각없이 비싸요"
97,1.0,2,비싼 가격 친절하지 친절하지 않아요 양은 조금 하지만 맛은 ?
98,1.0,2,완존별로에요 다신안감
101,1.0,2,"맛 평범, 가격 무지 비쌈,"
103,1.0,2,유명세에 비해 맛은 그닥 끌리지가 않아서 많이 아쉬웠던 곳으로 기억
114,1.0,2,별하나도 아까워요 최악임
115,1.0,2,서비스 음식 최악. 절대 가지 마세요
118,1.0,2,최악
120,1.0,2,넘비싸요
121,1.0,2,"직원만 구박하는 사장님
서비스업 종사하는 사장님 마인드 완전 꽝
서비스가 마이너스 별 다섯개"
125,1.0,2,정말 더럽구..맛없구 .비싸구..진짜 가지마세요..
129,1.0,2,별  하나 주는것도 아깝다
130,1.0,2,다시는 안가고 싶은곳이다.시킨안주외에는 써비스 전혀없고 다른곳보다 피싸며 그렇다고 친절하지도않고  시끄럽고. . 최악이었다
131,1.0,2,"별로,고기냄새가 심하다"
132,1.0,2,"졸라 불친절하고 맛도 다른곳보다 별로
나이 50대아줌마는 손님 무시하는 말뽄세"
133,1.0,2,"돈까스가 9천원이가 그런데 물도 단무지도, 수저 포크등도 셀프다! 가격도 비싼데 셀프라니? 돈까스 맛도 일반 돈까스랑 비슷하고 가격에 비해서 양도 그닥 많지않다! 다시는 가고싶지않음"
134,1.0,2,비쌈
137,1.0,2,별로
139,1.0,2,위생이 별로
141,1.0,2,평범한 매장 분위기...
